1	8	2	9	3	10	4	11	5	12	6	13	7
2	9	3	10	4	11	5	12	6	13	7	1	8
3	10	4	11	5	12	6	13	7	1	8	2	9
4	11	5	12	6	13	7	1	8	2	9	3	10
5	12	6	13	7	1	8	2	9	3	10	4	11
6	13	7	1	8	2	9	3	10	4	11	5	12
7	1	8	2	9	3	10	4	11	5	12	6	13
8	2	9	3	10	4	11	5	12	6	13	7	1
9	3	10	4	11	5	12	6	13	7	1	8	2
10	4	11	5	12	6	13	7	1	8	2	9	3
11	5	12	6	13	7	1	8	2	9	3	10	4
12	6	13	7	1	8	2	9	3	10	4	11	5
13	7	1	8	2	9	3	10	4	11	5	12	6
1	8	2	9	3	10	4	11	5	12	6	13	7
2	9	3	10	4	11	5	12	6	13	7	1	8
3	10	4	11	5	12	6	13	7	1	8	2	9
4	11	5	12	6	13	7	1	8	2	9	3	10
5	12	6	13	7	1	8	2	9	3	10	4	11
6	13	7	1	8	2	9	3	10	4	11	5	12
7	1	8	2	9	3	10	4	11	5	12	6	13
