1900	4	Tijax
1901	5	Aq'ab'al
1902	6	Q'anil
1903	7	Aj
1904	8	Tijax
1905	10	K'at
1906	11	Toj
1907	12	I'x
1908	13	Kawoq
1909	2	Kan 
1910	3	Tz'i'
1911	4	Tz'ikin
1912	5	Ajpu
1913	7	Keme
1914	8	B'atz'
1915	9	Ajmaq
1916	10	Imox
1917	12	Keej
1918	13	E
1919	1	No'j
1920	2	Iq'
1921	4	Q'anil
1922	5	Aj
1923	6	Tijax
1924	7	Aq'ab'al
1925	9	Toj
1926	10	I'x
1927	11	Kawoq
1928	12	Kat
1929	1	Tz'i'
1930	2	Tz'k'in
1931	3	Ajpu
1932	4	Kan 
1933	6	Batz'
1934	7	Ajmaq
1935	8	Imox
1936	9	Keme
1937	11	E
1938	12	No'j
1939	13	Iq'
1940	1	Keej
1941	3	Aj
1942	4	Tijax
1943	5	Aq'ab'al
1944	6	Q'anil
1945	8	I'x
1946	9	Kawoq
1947	10	K'at
1948	11	Toj
1949	13	Tz'ik'in
1950	1	Ajpu
1951	2	Kan
1952	3	Tz'i
1953	5	Ajmaq
1954	6	Imox
1955	7	Keme
1956	8	B'atz'
1957	10	No'j
1958	11	Iq'
1959	12	Keej
1960	13	E
1961	2	Tijax
1962	3	Aq'ab'al
1963	4	Q'anil
1964	5	Aj
1965	7	Kawoq
1966	8	K'at
1967	9	Toj
1968	10	I'x
1969	12	Ajpu
1970	13	Kan
1971	1	Tz'i
1972	2	Tz'ik'in
1973	4	Imox
1974	5	Keme
1975	6	B'atz'
1976	7	Ajmaq
1977	9	Iq'
1978	10	Keej
1979	11	E
1980	12	No'j
1981	1	Aq'ab'al
1982	2	Q'anil
1983	3	Aj
1984	4	Tijax
1985	6	K'at
1986	7	Toj
1987	8	I'x
1988	9	Kawoq
1989	11	Kan
1990	12	Tz'i
1991	13	Tz'ik'in
1992	1	Ajpu
1993	3	Keme
1994	4	B'atz'
1995	5	Ajmaq
1996	6	Imox
1997	8	Keej
1998	9	E
1999	10	No'j
2000	11	Iq'
2001	13	Q'anil
2002	1	Aj
2003	2	Tijax
2004	3	Aq'ab'al
2005	5	Toj
2006	6	I'x
2007	7	Kawoq
2008	8	K'at
2009	10	Tz'i'
2010	11	Tz'ik'in
2011	12	Ajpu
2012	13	Kan
2013	2	B'atz'
2014	3	Ajmaq
2015	4	Imox
2016	5	Keme
2017	7	E
2018	8	No'j
2019	9	Iq'
2020	10	Keej
2021	12	Aj
2022	13	Tijax
2023	1	Aq'ab'al
2024	2	Q'anil
2025	4	I'x
